current_week_value,update_dt,source,last_week_value,datadate,product_name
6.4,2018-06-07 15:34:34,http://www.ccf.com.cn/newscenter/detail-160000-2017092200431.shtml,7.0,2017-09-22,太仓及常熟
4.7,2018-06-07 15:34:34,http://www.ccf.com.cn/newscenter/detail-160000-2017092200431.shtml,4.0,2017-09-22,江阴及常州
52.5,2018-06-07 15:34:34,http://www.ccf.com.cn/newscenter/detail-160000-2017092200431.shtml,51.5,2017-09-22,总和
7.8,2018-06-07 15:34:37,http://www.ccf.com.cn/newscenter/detail-160000-2017092900382.shtml,5.3,2017-09-29,宁波
4,2018-06-07 15:34:37,http://www.ccf.com.cn/newscenter/detail-160000-2017092900382.shtml,2.7,2017-09-29,上海及嘉兴
34.6,2018-06-07 15:34:38,http://www.ccf.com.cn/newscenter/detail-160000-2017092900382.shtml,33.4,2017-09-29,张家港
6.2,2018-06-07 15:34:38,http://www.ccf.com.cn/newscenter/detail-160000-2017092900382.shtml,6.4,2017-09-29,太仓及常熟
5,2018-06-07 15:34:38,http://www.ccf.com.cn/newscenter/detail-160000-2017092900382.shtml,4.7,2017-09-29,江阴及常州
57.6,2018-06-07 15:34:38,http://www.ccf.com.cn/newscenter/detail-160000-2017092900382.shtml,52.5,2017-09-29,总和
6.1,2018-06-07 15:34:42,http://www.ccf.com.cn/newscenter/detail-160000-2017101300397.shtml,6.7,2017-10-13,宁波
2.5,2018-06-07 15:34:42,http://www.ccf.com.cn/newscenter/detail-160000-2017101300397.shtml,2.4,2017-10-13,上海及嘉兴
37.7,2018-06-07 15:34:42,http://www.ccf.com.cn/newscenter/detail-160000-2017101300397.shtml,35.7,2017-10-13,张家港
8.8,2018-06-07 15:34:42,http://www.ccf.com.cn/newscenter/detail-160000-2017101300397.shtml,10.0,2017-10-13,太仓及常熟
4,2018-06-07 15:34:42,http://www.ccf.com.cn/newscenter/detail-160000-2017101300397.shtml,4.2,2017-10-13,江阴及常州
59.1,2018-06-07 15:34:42,http://www.ccf.com.cn/newscenter/detail-160000-2017101300397.shtml,59.0,2017-10-13,总和
5.1,2018-06-07 15:34:46,http://www.ccf.com.cn/newscenter/detail-160000-2017102000418.shtml,6.1,2017-10-20,宁波
3.0,2018-06-07 15:34:46,http://www.ccf.com.cn/newscenter/detail-160000-2017102000418.shtml,2.5,2017-10-20,上海及嘉兴
34.1,2018-06-07 15:34:46,http://www.ccf.com.cn/newscenter/detail-160000-2017102000418.shtml,37.7,2017-10-20,张家港
6.6,2018-06-07 15:34:46,http://www.ccf.com.cn/newscenter/detail-160000-2017102000418.shtml,8.8,2017-10-20,太仓及常熟
3.5,2018-06-07 15:34:46,http://www.ccf.com.cn/newscenter/detail-160000-2017102000418.shtml,4,2017-10-20,江阴及常州
52.3,2018-06-07 15:34:46,http://www.ccf.com.cn/newscenter/detail-160000-2017102000418.shtml,59.1,2017-10-20,总和
6.2,2018-06-07 15:34:50,http://www.ccf.com.cn/newscenter/detail-160000-2017102700410.shtml,5.1,2017-10-27,宁波
2.3,2018-06-07 15:34:50,http://www.ccf.com.cn/newscenter/detail-160000-2017102700410.shtml,3.0,2017-10-27,上海及嘉兴
36.4,2018-06-07 15:34:50,http://www.ccf.com.cn/newscenter/detail-160000-2017102700410.shtml,34.1,2017-10-27,张家港
7.6,2018-06-07 15:34:50,http://www.ccf.com.cn/newscenter/detail-160000-2017102700410.shtml,6.6,2017-10-27,太仓及常熟
3.2,2018-06-07 15:34:50,http://www.ccf.com.cn/newscenter/detail-160000-2017102700410.shtml,3.5,2017-10-27,江阴及常州
55.7,2018-06-07 15:34:50,http://www.ccf.com.cn/newscenter/detail-160000-2017102700410.shtml,52.3,2017-10-27,总和
5.4,2018-06-07 15:34:53,http://www.ccf.com.cn/newscenter/detail-160000-2017110300390.shtml,6.2,2017-11-03,宁波
