update_dt,datadate,source,change_price,day_avg_price,product_name
2018-06-07 12:53:41,2017-11-09,http://www.ccf.com.cn/newscenter/detail-140000-2017110900520.shtml,20元/吨,7495,CCF内盘MEG现货
2018-06-07 12:53:41,2017-11-09,http://www.ccf.com.cn/newscenter/detail-140000-2017110900520.shtml,25元/吨,7480,CCF内盘MEG期货
2018-06-07 12:53:41,2017-11-09,http://www.ccf.com.cn/newscenter/detail-140000-2017110900520.shtml,15元/吨,7495,CCF内盘宁波MEG现货
2018-06-07 12:53:41,2017-11-09,http://www.ccf.com.cn/newscenter/detail-140000-2017110900520.shtml,0元/吨,7625,CCF内盘华南MEG现货
2018-06-07 12:53:41,2017-11-09,http://www.ccf.com.cn/newscenter/detail-140000-2017110900520.shtml,1美元/吨,919,CCF外盘MEG
2018-06-07 12:53:41,2017-11-09,http://www.ccf.com.cn/newscenter/detail-140000-2017110900520.shtml,0,3,CCF接盘指数
2018-06-07 12:53:45,2017-11-14,http://www.ccf.com.cn/newscenter/detail-140000-2017111400551.shtml,-15元/吨,7400,CCF内盘MEG现货
2018-06-07 12:53:45,2017-11-14,http://www.ccf.com.cn/newscenter/detail-140000-2017111400551.shtml,0元/吨,7405,CCF内盘MEG期货
2018-06-07 12:53:45,2017-11-14,http://www.ccf.com.cn/newscenter/detail-140000-2017111400551.shtml,-15元/吨,7400,CCF内盘宁波MEG现货
2018-06-07 12:53:45,2017-11-14,http://www.ccf.com.cn/newscenter/detail-140000-2017111400551.shtml,25元/吨,7525,CCF内盘华南MEG现货
2018-06-07 12:53:45,2017-11-14,http://www.ccf.com.cn/newscenter/detail-140000-2017111400551.shtml,2美元/吨,913,CCF外盘MEG
2018-06-07 12:53:45,2017-11-14,http://www.ccf.com.cn/newscenter/detail-140000-2017111400551.shtml,0,2.5,CCF接盘指数
2018-06-07 12:53:53,2017-11-15,http://www.ccf.com.cn/newscenter/detail-140000-2017111500551.shtml,-125元/吨,7275,CCF内盘MEG现货
2018-06-07 12:53:53,2017-11-15,http://www.ccf.com.cn/newscenter/detail-140000-2017111500551.shtml,-155元/吨,7250,CCF内盘MEG期货
2018-06-07 12:53:53,2017-11-15,http://www.ccf.com.cn/newscenter/detail-140000-2017111500551.shtml,-125元/吨,7275,CCF内盘宁波MEG现货
2018-06-07 12:53:53,2017-11-15,http://www.ccf.com.cn/newscenter/detail-140000-2017111500551.shtml,-75元/吨,7450,CCF内盘华南MEG现货
2018-06-07 12:53:53,2017-11-15,http://www.ccf.com.cn/newscenter/detail-140000-2017111500551.shtml,-21美元/吨,892,CCF外盘MEG
2018-06-07 12:53:53,2017-11-15,http://www.ccf.com.cn/newscenter/detail-140000-2017111500551.shtml,0,2.5,CCF接盘指数
2018-06-07 12:53:53,2017-11-20,http://www.ccf.com.cn/newscenter/detail-140000-2017112000521.shtml,0/0,18300-18700,PTMEG（市场价 低）
2018-06-07 12:53:53,2017-11-20,http://www.ccf.com.cn/newscenter/detail-140000-2017112000521.shtml,0/0,18800-19400,PTMEG（市场价 高）
2018-06-07 12:53:57,2017-11-21,http://www.ccf.com.cn/newscenter/detail-140000-2017112100547.shtml,-25元/吨,7230,CCF内盘MEG现货
2018-06-07 12:53:57,2017-11-21,http://www.ccf.com.cn/newscenter/detail-140000-2017112100547.shtml,-30元/吨,7230,CCF内盘MEG期货
2018-06-07 12:53:57,2017-11-21,http://www.ccf.com.cn/newscenter/detail-140000-2017112100547.shtml,-35元/吨,7230,CCF内盘宁波MEG现货
2018-06-07 12:53:57,2017-11-21,http://www.ccf.com.cn/newscenter/detail-140000-2017112100547.shtml,-50元/吨,7475,CCF内盘华南MEG现货
2018-06-07 12:53:57,2017-11-21,http://www.ccf.com.cn/newscenter/detail-140000-2017112100547.shtml,-4美元/吨,897,CCF外盘MEG
2018-06-07 12:53:57,2017-11-21,http://www.ccf.com.cn/newscenter/detail-140000-2017112100547.shtml,0,2.5,CCF接盘指数
2018-06-07 12:53:59,2017-11-23,http://www.ccf.com.cn/newscenter/detail-140000-2017112300458.shtml,0/0,18400-18800,PTMEG（市场价 低）
2018-06-07 12:53:59,2017-11-23,http://www.ccf.com.cn/newscenter/detail-140000-2017112300458.shtml,0/0,18800-19500,PTMEG（市场价 高）
2018-06-07 12:54:04,2017-11-27,http://www.ccf.com.cn/newscenter/detail-140000-2017112700494.shtml,-10元/吨,7370,CCF内盘MEG现货
2018-06-07 12:54:04,2017-11-27,http://www.ccf.com.cn/newscenter/detail-140000-2017112700494.shtml,-20元/吨,7380,CCF内盘MEG期货
2018-06-07 12:54:04,2017-11-27,http://www.ccf.com.cn/newscenter/detail-140000-2017112700494.shtml,-15元/吨,7385,CCF内盘宁波MEG现货
2018-06-07 12:54:04,2017-11-27,http://www.ccf.com.cn/newscenter/detail-140000-2017112700494.shtml,0元/吨,7575,CCF内盘华南MEG现货
2018-06-07 12:54:04,2017-11-27,http://www.ccf.com.cn/newscenter/detail-140000-2017112700494.shtml,-1美元/吨,912,CCF外盘MEG
2018-06-07 12:54:04,2017-11-27,http://www.ccf.com.cn/newscenter/detail-140000-2017112700494.shtml,0,2.5,CCF接盘指数
2018-06-07 12:54:07,2017-11-29,http://www.ccf.com.cn/newscenter/detail-140000-2017112900520.shtml,0/0,18400-18800,PTMEG（市场价 低）
2018-06-07 12:54:07,2017-11-29,http://www.ccf.com.cn/newscenter/detail-140000-2017112900520.shtml,0/0,18900-19500,PTMEG（市场价 高）
2018-06-07 12:54:11,2017-11-30,http://www.ccf.com.cn/newscenter/detail-140000-2017113000490.shtml,0/0,18400-18800,PTMEG（市场价 低）
2018-06-07 12:54:11,2017-11-30,http://www.ccf.com.cn/newscenter/detail-140000-2017113000490.shtml,0/0,18900-19500,PTMEG（市场价 高）
2018-06-07 12:54:14,2017-11-30,http://www.ccf.com.cn/newscenter/detail-140000-2017113000501.shtml,10元/吨,7395,CCF内盘MEG现货
2018-06-07 12:54:14,2017-11-30,http://www.ccf.com.cn/newscenter/detail-140000-2017113000501.shtml,20元/吨,7395,CCF内盘MEG期货
2018-06-07 12:54:14,2017-11-30,http://www.ccf.com.cn/newscenter/detail-140000-2017113000501.shtml,10元/吨,7410,CCF内盘宁波MEG现货
2018-06-07 12:54:14,2017-11-30,http://www.ccf.com.cn/newscenter/detail-140000-2017113000501.shtml,-25元/吨,7550,CCF内盘华南MEG现货
2018-06-07 12:54:15,2017-11-30,http://www.ccf.com.cn/newscenter/detail-140000-2017113000501.shtml,4美元/吨,916,CCF外盘MEG
2018-06-07 12:54:15,2017-11-30,http://www.ccf.com.cn/newscenter/detail-140000-2017113000501.shtml,0,2.5,CCF接盘指数
2018-06-07 12:54:18,2017-12-04,http://www.ccf.com.cn/newscenter/detail-140000-2017120400519.shtml,0/0,18400-18800,PTMEG（市场价 低）
2018-06-07 12:54:18,2017-12-04,http://www.ccf.com.cn/newscenter/detail-140000-2017120400519.shtml,0/0,18900-19500,PTMEG（市场价 高）
2018-06-07 12:54:21,2017-12-04,http://www.ccf.com.cn/newscenter/detail-140000-2017120400545.shtml,70元/吨,7465,CCF内盘MEG现货
2018-06-07 12:54:21,2017-12-04,http://www.ccf.com.cn/newscenter/detail-140000-2017120400545.shtml,95元/吨,7465,CCF内盘MEG期货
2018-06-07 12:54:22,2017-12-04,http://www.ccf.com.cn/newscenter/detail-140000-2017120400545.shtml,70元/吨,7480,CCF内盘宁波MEG现货
2018-06-07 12:54:22,2017-12-04,http://www.ccf.com.cn/newscenter/detail-140000-2017120400545.shtml,25元/吨,7575,CCF内盘华南MEG现货
2018-06-07 12:54:22,2017-12-04,http://www.ccf.com.cn/newscenter/detail-140000-2017120400545.shtml,7美元/吨,923,CCF外盘MEG
2018-06-07 12:54:22,2017-12-04,http://www.ccf.com.cn/newscenter/detail-140000-2017120400545.shtml,0.5,2.5,CCF接盘指数
2018-06-07 12:54:26,2017-11-29,http://www.ccf.com.cn/newscenter/detail-140000-2017112900526.shtml,30元/吨,7385,CCF内盘MEG现货
2018-06-07 12:54:26,2017-11-29,http://www.ccf.com.cn/newscenter/detail-140000-2017112900526.shtml,20元/吨,7375,CCF内盘MEG期货
2018-06-07 12:54:26,2017-11-29,http://www.ccf.com.cn/newscenter/detail-140000-2017112900526.shtml,30元/吨,7400,CCF内盘宁波MEG现货
