value_date,report_title,table_title,index_name,column_value,report_date,value_unit,column_name
,亚洲PX市场日报（2.2）,2,二月下,711.00-713.00,2016-02-03 08:18:00,,FOB韩国
,亚洲PX市场日报（2.2）,2,二月下,732.00-734.00,2016-02-03 08:18:00,,CFR台湾/中国
,亚洲PX市场日报（2.2）,3,三月上,713.00-715.00,2016-02-03 08:18:00,,FOB韩国
,亚洲PX市场日报（2.2）,3,三月上,734.00-736.00,2016-02-03 08:18:00,,CFR台湾/中国
,亚洲PX市场日报（2.2）,4,三月下,713.00-715.00,2016-02-03 08:18:00,,FOB韩国
,亚洲PX市场日报（2.2）,4,三月下,734.00-736.00,2016-02-03 08:18:00,,CFR台湾/中国
,亚洲PX市场日报（2.2）,5,四月上,715.00-717.00,2016-02-03 08:18:00,,FOB韩国
,亚洲PX市场日报（2.2）,5,四月上,736.00-738.00,2016-02-03 08:18:00,,CFR台湾/中国
,亚洲PX市场日报（1.27）,1,基准价,682.17-683.17*,2016-01-28 08:19:00,,FOB韩国
,亚洲PX市场日报（1.27）,1,基准价,703.17-704.17*,2016-01-28 08:19:00,,CFR台湾/中国
,亚洲PX市场日报（1.27）,2,二月上,681.00-683.00,2016-01-28 08:19:00,,FOB韩国
,亚洲PX市场日报（1.27）,2,二月上,702.00-704.00,2016-01-28 08:19:00,,CFR台湾/中国
,亚洲PX市场日报（1.27）,3,二月下,681.00-683.00,2016-01-28 08:19:00,,FOB韩国
,亚洲PX市场日报（1.27）,3,二月下,702.00-704.00,2016-01-28 08:19:00,,CFR台湾/中国
,亚洲PX市场日报（1.27）,4,三月上,682.00-684.00,2016-01-28 08:19:00,,FOB韩国
,亚洲PX市场日报（1.27）,4,三月上,703.00-705.00,2016-01-28 08:19:00,,CFR台湾/中国
